Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
237;Eidsvoll;6;4,5;5,8;6;2,4;3,9;5,7;3,6;6;6;1
941;Bykle;6;5,2;6;5,6;5,6;6;6;6;6;1;6
137;Våler;6;3,9;6;6;3,4;6;5,3;4;6;4,1;1,6
1657;Skaun;6;2,9;6;6;4,2;3,1;5,3;1;6;6;1,4
1243;Os;6;4,4;6;6;3,7;5,9;3,5;3,5;5,4;6;1,1
211;Vestby;6;3,4;5,3;5,5;3,6;6;4,2;1,9;6;5,7;1,4
1018;Søgne;5,6;4,2;4,7;6;3,1;5,1;4,3;4;5,1;6;1,4
618;Hemsedal;6;2,9;5,6;6;4,4;4,5;4,8;4,6;5,6;3,4;3
1124;Sola;6;4,1;5,9;6;3,5;4,8;4,7;3,3;4,6;4,5;2,2
233;Nittedal;5,1;2,7;4,6;5,5;4,2;6;4,2;4,7;4,9;5,4;1,2
1644;Holtålen;3,4;5,4;4,1;4,2;4,4;6;6;4,8;5,1;4,9;2,2
1102;Sandnes;6;4;5,4;6;3,4;3,8;3,7;4,1;5,3;5,1;1,6
1834;Lurøy;1,9;1;4,2;2,9;4,7;6;6;5,6;6;6;2,5
627;Røyken;5,8;3,3;4,8;5,9;4,1;6;3,1;6;3,2;5,9;1,2
1246;Fjell;6;5,2;4,4;6;3,5;5,7;3,5;3,6;4,4;5,4;1,3
1142;Rennesøy;6;3,3;5,2;6;5,3;1;4,9;2,4;4,4;5,8;1,8
227;Fet;5,3;3,3;5,5;5,5;4;5,9;4,4;1;4,3;5,5;1,2
1119;Hå;5,1;2,6;5,6;5,2;5,4;3,3;4,5;2,6;5,2;5,4;1,1
1120;Klepp;5,7;3,6;5,1;6;5,1;5,5;3;4,9;4,3;5;1,3
238;Nannestad;6;4,8;3,8;6;3,4;5;3,1;2,3;5,2;6;1
221;Aurskog-Høland;5,2;4,5;5,2;5,2;3,1;3,4;4,2;4,2;4,6;6;1
706;Sandefjord;4,3;3,6;4,2;4,7;1,6;4,3;5,9;6;3,8;5,8;1
1032;Lyngdal;5,9;4,3;5,3;5,6;3,2;4,9;3,5;4,8;3,3;5,4;1,3
1017;Songdalen;5,3;2,9;4,9;5,6;2,4;6;3,6;3,1;4;5,6;1,6
231;Skedsmo;5,6;5;4,4;6;3,1;4,6;3,3;4,4;4,3;5,6;1,2
1014;Vennesla;5,6;3,6;5,6;6;2;3,8;4,1;4,1;4,9;4,6;1,6
1529;Skodje;6;3,6;6;5,5;3,7;2,5;4,6;3,6;4,3;4,4;1,1
602;Drammen;5,2;4,6;4,7;5,4;1,7;3,9;3,6;2,1;5,8;6;1,3
702;Holmestrand;5,1;3,4;4,8;5,1;1,8;4,7;3,9;2,6;5,2;5,9;1
1247;Askøy;6;3,2;5,6;6;3,5;5,8;3,4;2,4;;5;1,1
1547;Aukra;4,7;2,8;4,8;5,1;4,1;3,6;6;6;6;1;6
230;Lørenskog;5,5;5,1;4,4;5,4;3,1;5,8;3,5;1,1;4;5,8;1,5
235;Ullensaker;6;4,1;5,3;6;3,3;5,8;2,8;2,1;3,3;5,7;1
1034;Hægebostad;4,5;3;4;5,4;6;6;4,2;5,1;4,7;3,3;2,5
1744;Overhalla;4,1;3,5;5,5;3,8;4,9;3,1;4,7;2,5;4,5;5,9;1,5
1245;Sund;6;3,1;6;5,6;2,5;4,2;3,1;4,2;3,3;5,4;1,4
1216;Sveio;5,5;2,9;6;4,3;3,6;3;3,7;5,1;4,6;4,7;1,5
217;Oppegård;4,2;3,2;4,1;4,5;4,1;4,7;3,9;4,3;5;5,5;1,5
215;Frogn;3,9;3,4;3,7;4,1;4;5,9;4,2;1,8;5;6;1,4
214;Ås;6;5,1;6;6;2,7;4;2,4;3,4;3,7;5,5;1,5
1256;Meland;6;4,2;6;6;3,5;4,3;3,2;2,9;3,1;4,7;2
929;Åmli;3,4;3,9;4,5;3;1,8;6;5,3;4,2;4,6;4,6;3,4
935;Iveland;5,5;3,1;6;4,9;2,7;1,1;4,4;5,3;6;3;3,7
234;Gjerdrum;4,8;2,7;3,5;5,5;5,2;4,5;4,3;1,2;5,2;4,9;1,3
220;Asker;4;3,5;4,3;4,5;3,8;4,2;5,3;2,9;4,9;4,6;2
919;Froland;4,7;1,8;5,4;4,9;2,1;3,1;4,8;2,4;4,2;5,5;1,7
926;Lillesand;6;3,7;6;6;2,7;5,1;3,8;1,9;2,5;4,5;1,6
